Sample	Taxon	Rank	Abundance	Type	IDGroup	SampleName	Strain	Cage	MouseID	Treatment	Colonization	Community	Sex	DOB	Notch	Control	Source
SP_20	Bacteria	Kingdom	1	RelativeAbundance	SP_20	Colon 20	Muc2-/-	1094R	H6	NC	H. M.  + Comm21	CommunityHM	M	15-Aug-25	RL	Treatment	Colon
SP_21	Bacteria	Kingdom	1	RelativeAbundance	SP_21	Feces 1	Muc2-/-	4181B	C1	NC	C.P. + Comm21	CommunityCP	M	30-May-25	None	Treatment	Feces
SP_22	Bacteria	Kingdom	1	RelativeAbundance	SP_22	Feces 2	Muc2-/-	099R	C2	NC	C.P. + Comm21	CommunityCP	M	9-Aug-25	None	Treatment	Feces
SP_23	Bacteria	Kingdom	1	RelativeAbundance	SP_23	Feces 3	Muc2-/-	3970R	C3	NC	C.P. + Comm21	CommunityCP	M	17-Aug-25	None	Treatment	Feces
SP_24	Bacteria	Kingdom	1	RelativeAbundance	SP_24	Feces 4	Muc2-/-	3778BL	C4	NC	C.P. + Comm21	CommunityCP	M	17-Aug-25	None	Treatment	Feces
SP_25	Bacteria	Kingdom	1	RelativeAbundance	SP_25	Feces 5	Muc2-/-	1322B	C5	MT	C.P. + Comm21	CommunityCP	M	9-Aug-25	None	Treatment	Feces
SP_26	Bacteria	Kingdom	1	RelativeAbundance	SP_26	Feces 6	Muc2-/-	1322B	C6	MT	C.P. + Comm21	CommunityCP	M	9-Aug-25	R	Treatment	Feces
SP_27	Bacteria	Kingdom	1	RelativeAbundance	SP_27	Feces 7	Muc2-/-	045R	C7	MT	C.P. + Comm21	CommunityCP	F	17-Aug-25	None	Treatment	Feces
SP_28	Bacteria	Kingdom	1	RelativeAbundance	SP_28	Feces 8	Muc2-/-	045R	C8	MT	C.P. + Comm21	CommunityCP	F	17-Aug-25	R	Treatment	Feces
SP_29	Bacteria	Kingdom	1	RelativeAbundance	SP_29	Feces 9	Muc2-/-	045R	C9	MT	C.P. + Comm21	CommunityCP	F	17-Aug-25	L	Treatment	Feces
SP_3	Bacteria	Kingdom	1	RelativeAbundance	SP_3	Colon 3	Muc2-/-	3970R	C3	NC	C.P. + Comm21	CommunityCP	M	17-Aug-25	None	Treatment	Colon
SP_30	Bacteria	Kingdom	1	RelativeAbundance	SP_30	Feces 10	Muc2-/-	3731R	C10	OA	C.P. + Comm21	CommunityCP	M	9-Aug-25	None	Treatment	Feces
SP_31	Bacteria	Kingdom	1	RelativeAbundance	SP_31	Feces 11	Muc2-/-	3731R	C11	OA	C.P. + Comm21	CommunityCP	M	9-Aug-25	R	Treatment	Feces
SP_32	Bacteria	Kingdom	1	RelativeAbundance	SP_32	Feces 12	Muc2-/-	3793R	C12	OA	C.P. + Comm21	CommunityCP	F	9-Aug-25	None	Treatment	Feces
SP_33	Bacteria	Kingdom	1	RelativeAbundance	SP_33	Feces 13	Muc2-/-	3793R	C13	OA	C.P. + Comm21	CommunityCP	F	9-Aug-25	R	Treatment	Feces
SP_34	Bacteria	Kingdom	1	RelativeAbundance	SP_34	Feces 15	Muc2-/-	2424R	H1	OA	H. M.  + Comm21	CommunityHM	M	15-Aug-25	None	Treatment	Feces
SP_35	Bacteria	Kingdom	1	RelativeAbundance	SP_35	Feces 16	Muc2-/-	4376BL	H2	OA	H. M.  + Comm21	CommunityHM	F	15-Aug-25	L	Treatment	Feces
SP_36	Bacteria	Kingdom	1	RelativeAbundance	SP_36	Feces 17	Muc2-/-	1063R	H3	NC	H. M.  + Comm21	CommunityHM	F	15-Aug-25	None	Treatment	Feces
SP_37	Bacteria	Kingdom	1	RelativeAbundance	SP_37	Feces 18	Muc2-/-	1063R	H4	NC	H. M.  + Comm21	CommunityHM	F	15-Aug-25	R	Treatment	Feces
SP_38	Bacteria	Kingdom	1	RelativeAbundance	SP_38	Feces 19	Muc2-/-	1094R	H5	NC	H. M.  + Comm21	CommunityHM	M	15-Aug-25	L	Treatment	Feces
SP_39	Bacteria	Kingdom	1	RelativeAbundance	SP_39	Feces 20	Muc2-/-	1094R	H6	NC	H. M.  + Comm21	CommunityHM	M	15-Aug-25	RL	Treatment	Feces
SP_4	Bacteria	Kingdom	1	RelativeAbundance	SP_4	Colon 4	Muc2-/-	3778BL	C4	NC	C.P. + Comm21	CommunityCP	M	17-Aug-25	None	Treatment	Colon
SP_40	Bacteria	Kingdom	1	RelativeAbundance	SP_40	Mucus 1	Muc2-/-	4181B	C1	NC	C.P. + Comm21	CommunityCP	M	30-May-25	None	Treatment	Mucus
SP_41	Bacteria	Kingdom	1	RelativeAbundance	SP_41	Mucus 2	Muc2-/-	099R	C2	NC	C.P. + Comm21	CommunityCP	M	9-Aug-25	None	Treatment	Mucus
SP_42	Bacteria	Kingdom	1	RelativeAbundance	SP_42	Mucus 3	Muc2-/-	3970R	C3	NC	C.P. + Comm21	CommunityCP	M	17-Aug-25	None	Treatment	Mucus
SP_43	Bacteria	Kingdom	1	RelativeAbundance	SP_43	Mucus 4	Muc2-/-	3778BL	C4	NC	C.P. + Comm21	CommunityCP	M	17-Aug-25	None	Treatment	Mucus
SP_44	Bacteria	Kingdom	1	RelativeAbundance	SP_44	Mucus 5	Muc2-/-	1322B	C5	MT	C.P. + Comm21	CommunityCP	M	9-Aug-25	None	Treatment	Mucus
SP_45	Bacteria	Kingdom	1	RelativeAbundance	SP_45	Mucus 6	Muc2-/-	1322B	C6	MT	C.P. + Comm21	CommunityCP	M	9-Aug-25	R	Treatment	Mucus
SP_46	Bacteria	Kingdom	1	RelativeAbundance	SP_46	Mucus 7	Muc2-/-	045R	C7	MT	C.P. + Comm21	CommunityCP	F	17-Aug-25	None	Treatment	Mucus
SP_47	Bacteria	Kingdom	1	RelativeAbundance	SP_47	Mucus 8	Muc2-/-	045R	C8	MT	C.P. + Comm21	CommunityCP	F	17-Aug-25	R	Treatment	Mucus
SP_48	Bacteria	Kingdom	1	RelativeAbundance	SP_48	Mucus 9	Muc2-/-	045R	C9	MT	C.P. + Comm21	CommunityCP	F	17-Aug-25	L	Treatment	Mucus
SP_48_re	Bacteria	Kingdom	1	RelativeAbundance	SP_48	Mucus 9	Muc2-/-	045R	C9	MT	C.P. + Comm21	CommunityCP	F	17-Aug-25	L	Treatment	Mucus
SP_49	Bacteria	Kingdom	1	RelativeAbundance	SP_49	Mucus 10	Muc2-/-	3731R	C10	OA	C.P. + Comm21	CommunityCP	M	9-Aug-25	None	Treatment	Mucus
SP_5	Bacteria	Kingdom	1	RelativeAbundance	SP_5	Colon 5	Muc2-/-	1322B	C5	MT	C.P. + Comm21	CommunityCP	M	9-Aug-25	None	Treatment	Colon
SP_50	Bacteria	Kingdom	1	RelativeAbundance	SP_50	Mucus 11	Muc2-/-	3731R	C11	OA	C.P. + Comm21	CommunityCP	M	9-Aug-25	R	Treatment	Mucus
SP_51	Bacteria	Kingdom	1	RelativeAbundance	SP_51	Mucus 12	Muc2-/-	3793R	C12	OA	C.P. + Comm21	CommunityCP	F	9-Aug-25	None	Treatment	Mucus
SP_51_re	Bacteria	Kingdom	1	RelativeAbundance	SP_51	Mucus 12	Muc2-/-	3793R	C12	OA	C.P. + Comm21	CommunityCP	F	9-Aug-25	None	Treatment	Mucus
SP_52	Bacteria	Kingdom	1	RelativeAbundance	SP_52	Mucus 13	Muc2-/-	3793R	C13	OA	C.P. + Comm21	CommunityCP	F	9-Aug-25	R	Treatment	Mucus
SP_53	Bacteria	Kingdom	1	RelativeAbundance	SP_53	Mucus 15	Muc2-/-	2424R	H1	OA	H. M.  + Comm21	CommunityHM	M	15-Aug-25	None	Treatment	Mucus
SP_54	Bacteria	Kingdom	1	RelativeAbundance	SP_54	Mucus 16	Muc2-/-	4376BL	H2	OA	H. M.  + Comm21	CommunityHM	F	15-Aug-25	L	Treatment	Mucus
SP_55	Bacteria	Kingdom	1	RelativeAbundance	SP_55	Mucus 17	Muc2-/-	1063R	H3	NC	H. M.  + Comm21	CommunityHM	F	15-Aug-25	None	Treatment	Mucus
SP_56	Bacteria	Kingdom	1	RelativeAbundance	SP_56	Mucus 18	Muc2-/-	1063R	H4	NC	H. M.  + Comm21	CommunityHM	F	15-Aug-25	R	Treatment	Mucus
SP_57	Bacteria	Kingdom	1	RelativeAbundance	SP_57	Mucus 19	Muc2-/-	1094R	H5	NC	H. M.  + Comm21	CommunityHM	M	15-Aug-25	L	Treatment	Mucus
SP_58	Bacteria	Kingdom	1	RelativeAbundance	SP_58	Mucus 20	Muc2-/-	1094R	H6	NC	H. M.  + Comm21	CommunityHM	M	15-Aug-25	RL	Treatment	Mucus
SP_58_re	Bacteria	Kingdom	1	RelativeAbundance	SP_58	Mucus 20	Muc2-/-	1094R	H6	NC	H. M.  + Comm21	CommunityHM	M	15-Aug-25	RL	Treatment	Mucus
SP_6	Bacteria	Kingdom	1	RelativeAbundance	SP_6	Colon 6	Muc2-/-	1322B	C6	MT	C.P. + Comm21	CommunityCP	M	9-Aug-25	R	Treatment	Colon
SP_7	Bacteria	Kingdom	1	RelativeAbundance	SP_7	Colon 7	Muc2-/-	045R	C7	MT	C.P. + Comm21	CommunityCP	F	17-Aug-25	None	Treatment	Colon
SP_8	Bacteria	Kingdom	1	RelativeAbundance	SP_8	Colon 8	Muc2-/-	045R	C8	MT	C.P. + Comm21	CommunityCP	F	17-Aug-25	R	Treatment	Colon
SP_9	Bacteria	Kingdom	1	RelativeAbundance	SP_9	Colon 9	Muc2-/-	045R	C9	MT	C.P. + Comm21	CommunityCP	F	17-Aug-25	L	Treatment	Colon
SP_46	Bacteroidota	Phylum	0.6623642174427159	RelativeAbundance	SP_46	Mucus 7	Muc2-/-	045R	C7	MT	C.P. + Comm21	CommunityCP	F	17-Aug-25	None	Treatment	Mucus
SP_40	Bacteroidota	Phylum	0.6585276273639844	RelativeAbundance	SP_40	Mucus 1	Muc2-/-	4181B	C1	NC	C.P. + Comm21	CommunityCP	M	30-May-25	None	Treatment	Mucus
SP_44	Bacteroidota	Phylum	0.6426289271758254	RelativeAbundance	SP_44	Mucus 5	Muc2-/-	1322B	C5	MT	C.P. + Comm21	CommunityCP	M	9-Aug-25	None	Treatment	Mucus
SP_5	Bacteroidota	Phylum	0.6333515457012937	RelativeAbundance	SP_5	Colon 5	Muc2-/-	1322B	C5	MT	C.P. + Comm21	CommunityCP	M	9-Aug-25	None	Treatment	Colon
SP_47	Bacteroidota	Phylum	0.6263794643935187	RelativeAbundance	SP_47	Mucus 8	Muc2-/-	045R	C8	MT	C.P. + Comm21	CommunityCP	F	17-Aug-25	R	Treatment	Mucus
SP_50	Bacteroidota	Phylum	0.6247969146930431	RelativeAbundance	SP_50	Mucus 11	Muc2-/-	3731R	C11	OA	C.P. + Comm21	CommunityCP	M	9-Aug-25	R	Treatment	Mucus
SP_55	Bacteroidota	Phylum	0.6245291418089893	RelativeAbundance	SP_55	Mucus 17	Muc2-/-	1063R	H3	NC	H. M.  + Comm21	CommunityHM	F	15-Aug-25	None	Treatment	Mucus
SP_25	Bacteroidota	Phylum	0.6183506983160548	RelativeAbundance	SP_25	Feces 5	Muc2-/-	1322B	C5	MT	C.P. + Comm21	CommunityCP	M	9-Aug-25	None	Treatment	Feces
SP_43	Bacteroidota	Phylum	0.6182506882848126	RelativeAbundance	SP_43	Mucus 4	Muc2-/-	3778BL	C4	NC	C.P. + Comm21	CommunityCP	M	17-Aug-25	None	Treatment	Mucus
SP_24	Bacteroidota	Phylum	0.6157666665626745	RelativeAbundance	SP_24	Feces 4	Muc2-/-	3778BL	C4	NC	C.P. + Comm21	CommunityCP	M	17-Aug-25	None	Treatment	Feces
SP_53	Bacteroidota	Phylum	0.6057855158864576	RelativeAbundance	SP_53	Mucus 15	Muc2-/-	2424R	H1	OA	H. M.  + Comm21	CommunityHM	M	15-Aug-25	None	Treatment	Mucus
SP_4	Bacteroidota	Phylum	0.5967031657620063	RelativeAbundance	SP_4	Colon 4	Muc2-/-	3778BL	C4	NC	C.P. + Comm21	CommunityCP	M	17-Aug-25	None	Treatment	Colon
SP_56	Bacteroidota	Phylum	0.5955658191687973	RelativeAbundance	SP_56	Mucus 18	Muc2-/-	1063R	H4	NC	H. M.  + Comm21	CommunityHM	F	15-Aug-25	R	Treatment	Mucus
SP_49	Bacteroidota	Phylum	0.5883841779310454	RelativeAbundance	SP_49	Mucus 10	Muc2-/-	3731R	C10	OA	C.P. + Comm21	CommunityCP	M	9-Aug-25	None	Treatment	Mucus
SP_45	Bacteroidota	Phylum	0.5882428834170578	RelativeAbundance	SP_45	Mucus 6	Muc2-/-	1322B	C6	MT	C.P. + Comm21	CommunityCP	M	9-Aug-25	R	Treatment	Mucus
SP_41	Bacteroidota	Phylum	0.5853728003812148	RelativeAbundance	SP_41	Mucus 2	Muc2-/-	099R	C2	NC	C.P. + Comm21	CommunityCP	M	9-Aug-25	None	Treatment	Mucus
SP_27	Bacteroidota	Phylum	0.5754448974395022	RelativeAbundance	SP_27	Feces 7	Muc2-/-	045R	C7	MT	C.P. + Comm21	CommunityCP	F	17-Aug-25	None	Treatment	Feces
SP_28	Bacteroidota	Phylum	0.5750529419092306	RelativeAbundance	SP_28	Feces 8	Muc2-/-	045R	C8	MT	C.P. + Comm21	CommunityCP	F	17-Aug-25	R	Treatment	Feces
SP_31	Bacteroidota	Phylum	0.5745798168612742	RelativeAbundance	SP_31	Feces 11	Muc2-/-	3731R	C11	OA	C.P. + Comm21	CommunityCP	M	9-Aug-25	R	Treatment	Feces
SP_6	Bacteroidota	Phylum	0.5716795923574759	RelativeAbundance	SP_6	Colon 6	Muc2-/-	1322B	C6	MT	C.P. + Comm21	CommunityCP	M	9-Aug-25	R	Treatment	Colon
SP_21	Bacteroidota	Phylum	0.5704747113660393	RelativeAbundance	SP_21	Feces 1	Muc2-/-	4181B	C1	NC	C.P. + Comm21	CommunityCP	M	30-May-25	None	Treatment	Feces
SP_8	Bacteroidota	Phylum	0.55968639638367	RelativeAbundance	SP_8	Colon 8	Muc2-/-	045R	C8	MT	C.P. + Comm21	CommunityCP	F	17-Aug-25	R	Treatment	Colon
SP_26	Bacteroidota	Phylum	0.558576200898514	RelativeAbundance	SP_26	Feces 6	Muc2-/-	1322B	C6	MT	C.P. + Comm21	CommunityCP	M	9-Aug-25	R	Treatment	Feces
SP_3	Bacteroidota	Phylum	0.5575693541395752	RelativeAbundance	SP_3	Colon 3	Muc2-/-	3970R	C3	NC	C.P. + Comm21	CommunityCP	M	17-Aug-25	None	Treatment	Colon
SP_15	Bacteroidota	Phylum	0.5568321518434689	RelativeAbundance	SP_15	Colon 15	Muc2-/-	2424R	H1	OA	H. M.  + Comm21	CommunityHM	M	15-Aug-25	None	Treatment	Colon
SP_36	Bacteroidota	Phylum	0.5554617193060359	RelativeAbundance	SP_36	Feces 17	Muc2-/-	1063R	H3	NC	H. M.  + Comm21	CommunityHM	F	15-Aug-25	None	Treatment	Feces
SP_7	Bacteroidota	Phylum	0.5535666025467784	RelativeAbundance	SP_7	Colon 7	Muc2-/-	045R	C7	MT	C.P. + Comm21	CommunityCP	F	17-Aug-25	None	Treatment	Colon
SP_42	Bacteroidota	Phylum	0.5530234114215259	RelativeAbundance	SP_42	Mucus 3	Muc2-/-	3970R	C3	NC	C.P. + Comm21	CommunityCP	M	17-Aug-25	None	Treatment	Mucus
SP_48_re	Bacteroidota	Phylum	0.5518591486638007	RelativeAbundance	SP_48	Mucus 9	Muc2-/-	045R	C9	MT	C.P. + Comm21	CommunityCP	F	17-Aug-25	L	Treatment	Mucus
SP_13	Bacteroidota	Phylum	0.5407474913571931	RelativeAbundance	SP_13	Colon 13	Muc2-/-	3793R	C13	OA	C.P. + Comm21	CommunityCP	F	9-Aug-25	R	Treatment	Colon
SP_57	Bacteroidota	Phylum	0.5384041783244718	RelativeAbundance	SP_57	Mucus 19	Muc2-/-	1094R	H5	NC	H. M.  + Comm21	CommunityHM	M	15-Aug-25	L	Treatment	Mucus
SP_10	Bacteroidota	Phylum	0.5347809738672683	RelativeAbundance	SP_10	Colon 10	Muc2-/-	3731R	C10	OA	C.P. + Comm21	CommunityCP	M	9-Aug-25	None	Treatment	Colon
SP_52	Bacteroidota	Phylum	0.5336682198630717	RelativeAbundance	SP_52	Mucus 13	Muc2-/-	3793R	C13	OA	C.P. + Comm21	CommunityCP	F	9-Aug-25	R	Treatment	Mucus
SP_2	Bacteroidota	Phylum	0.5329670030294444	RelativeAbundance	SP_2	Colon 2	Muc2-/-	099R	C2	NC	C.P. + Comm21	CommunityCP	M	9-Aug-25	None	Treatment	Colon
SP_37	Bacteroidota	Phylum	0.5313367969507727	RelativeAbundance	SP_37	Feces 18	Muc2-/-	1063R	H4	NC	H. M.  + Comm21	CommunityHM	F	15-Aug-25	R	Treatment	Feces
SP_48	Bacteroidota	Phylum	0.5310503717666771	RelativeAbundance	SP_48	Mucus 9	Muc2-/-	045R	C9	MT	C.P. + Comm21	CommunityCP	F	17-Aug-25	L	Treatment	Mucus
SP_22	Bacteroidota	Phylum	0.5303299349159174	RelativeAbundance	SP_22	Feces 2	Muc2-/-	099R	C2	NC	C.P. + Comm21	CommunityCP	M	9-Aug-25	None	Treatment	Feces
SP_58	Bacteroidota	Phylum	0.5301358118057472	RelativeAbundance	SP_58	Mucus 20	Muc2-/-	1094R	H6	NC	H. M.  + Comm21	CommunityHM	M	15-Aug-25	RL	Treatment	Mucus
SP_33	Bacteroidota	Phylum	0.5296397014074525	RelativeAbundance	SP_33	Feces 13	Muc2-/-	3793R	C13	OA	C.P. + Comm21	CommunityCP	F	9-Aug-25	R	Treatment	Feces
SP_38	Bacteroidota	Phylum	0.5295101777617556	RelativeAbundance	SP_38	Feces 19	Muc2-/-	1094R	H5	NC	H. M.  + Comm21	CommunityHM	M	15-Aug-25	L	Treatment	Feces
SP_19	Bacteroidota	Phylum	0.5244876774712027	RelativeAbundance	SP_19	Colon 19	Muc2-/-	1094R	H5	NC	H. M.  + Comm21	CommunityHM	M	15-Aug-25	L	Treatment	Colon
SP_11	Bacteroidota	Phylum	0.5222097971608735	RelativeAbundance	SP_11	Colon 11	Muc2-/-	3731R	C11	OA	C.P. + Comm21	CommunityCP	M	9-Aug-25	R	Treatment	Colon
SP_58_re	Bacteroidota	Phylum	0.5202263751163027	RelativeAbundance	SP_58	Mucus 20	Muc2-/-	1094R	H6	NC	H. M.  + Comm21	CommunityHM	M	15-Aug-25	RL	Treatment	Mucus
SP_23	Bacteroidota	Phylum	0.5173317692706806	RelativeAbundance	SP_23	Feces 3	Muc2-/-	3970R	C3	NC	C.P. + Comm21	CommunityCP	M	17-Aug-25	None	Treatment	Feces
SP_30	Bacteroidota	Phylum	0.517295713831783	RelativeAbundance	SP_30	Feces 10	Muc2-/-	3731R	C10	OA	C.P. + Comm21	CommunityCP	M	9-Aug-25	None	Treatment	Feces
SP_17	Bacteroidota	Phylum	0.5142050416254293	RelativeAbundance	SP_17	Colon 17	Muc2-/-	1063R	H3	NC	H. M.  + Comm21	CommunityHM	F	15-Aug-25	None	Treatment	Colon
SP_9	Bacteroidota	Phylum	0.508889616996327	RelativeAbundance	SP_9	Colon 9	Muc2-/-	045R	C9	MT	C.P. + Comm21	CommunityCP	F	17-Aug-25	L	Treatment	Colon
SP_39	Bacteroidota	Phylum	0.49382058306264587	RelativeAbundance	SP_39	Feces 20	Muc2-/-	1094R	H6	NC	H. M.  + Comm21	CommunityHM	M	15-Aug-25	RL	Treatment	Feces
SP_20	Bacteroidota	Phylum	0.4856720328607879	RelativeAbundance	SP_20	Colon 20	Muc2-/-	1094R	H6	NC	H. M.  + Comm21	CommunityHM	M	15-Aug-25	RL	Treatment	Colon
SP_51_re	Bacteroidota	Phylum	0.4852562727857602	RelativeAbundance	SP_51	Mucus 12	Muc2-/-	3793R	C12	OA	C.P. + Comm21	CommunityCP	F	9-Aug-25	None	Treatment	Mucus
SP_54	Bacteroidota	Phylum	0.4842168198223166	RelativeAbundance	SP_54	Mucus 16	Muc2-/-	4376BL	H2	OA	H. M.  + Comm21	CommunityHM	F	15-Aug-25	L	Treatment	Mucus
SP_18	Bacteroidota	Phylum	0.4788625797383501	RelativeAbundance	SP_18	Colon 18	Muc2-/-	1063R	H4	NC	H. M.  + Comm21	CommunityHM	F	15-Aug-25	R	Treatment	Colon
SP_16	Bacteroidota	Phylum	0.47710081358698053	RelativeAbundance	SP_16	Colon 16	Muc2-/-	4376BL	H2	OA	H. M.  + Comm21	CommunityHM	F	15-Aug-25	L	Treatment	Colon
SP_51	Bacillota_A	Phylum	0.4753152920685095	RelativeAbundance	SP_51	Mucus 12	Muc2-/-	3793R	C12	OA	C.P. + Comm21	CommunityCP	F	9-Aug-25	None	Treatment	Mucus
SP_32	Bacteroidota	Phylum	0.4729176673269371	RelativeAbundance	SP_32	Feces 12	Muc2-/-	3793R	C12	OA	C.P. + Comm21	CommunityCP	F	9-Aug-25	None	Treatment	Feces
SP_34	Bacteroidota	Phylum	0.4700199586506878	RelativeAbundance	SP_34	Feces 15	Muc2-/-	2424R	H1	OA	H. M.  + Comm21	CommunityHM	M	15-Aug-25	None	Treatment	Feces
SP_29	Bacteroidota	Phylum	0.4536753168889815	RelativeAbundance	SP_29	Feces 9	Muc2-/-	045R	C9	MT	C.P. + Comm21	CommunityCP	F	17-Aug-25	L	Treatment	Feces
SP_51	Bacteroidota	Phylum	0.445608489501016	RelativeAbundance	SP_51	Mucus 12	Muc2-/-	3793R	C12	OA	C.P. + Comm21	CommunityCP	F	9-Aug-25	None	Treatment	Mucus
SP_12	Bacteroidota	Phylum	0.44398344468511347	RelativeAbundance	SP_12	Colon 12	Muc2-/-	3793R	C12	OA	C.P. + Comm21	CommunityCP	F	9-Aug-25	None	Treatment	Colon
SP_35	Bacteroidota	Phylum	0.433943095124707	RelativeAbundance	SP_35	Feces 16	Muc2-/-	4376BL	H2	OA	H. M.  + Comm21	CommunityHM	F	15-Aug-25	L	Treatment	Feces
SP_51_re	Bacillota_A	Phylum	0.4227921938666095	RelativeAbundance	SP_51	Mucus 12	Muc2-/-	3793R	C12	OA	C.P. + Comm21	CommunityCP	F	9-Aug-25	None	Treatment	Mucus
SP_12	Bacillota_A	Phylum	0.41576924250282193	RelativeAbundance	SP_12	Colon 12	Muc2-/-	3793R	C12	OA	C.P. + Comm21	CommunityCP	F	9-Aug-25	None	Treatment	Colon
SP_32	Bacillota_A	Phylum	0.4108039552709821	RelativeAbundance	SP_32	Feces 12	Muc2-/-	3793R	C12	OA	C.P. + Comm21	CommunityCP	F	9-Aug-25	None	Treatment	Feces
SP_35	Bacillota_A	Phylum	0.3927799721731985	RelativeAbundance	SP_35	Feces 16	Muc2-/-	4376BL	H2	OA	H. M.  + Comm21	CommunityHM	F	15-Aug-25	L	Treatment	Feces
SP_29	Bacillota_A	Phylum	0.3839788754852728	RelativeAbundance	SP_29	Feces 9	Muc2-/-	045R	C9	MT	C.P. + Comm21	CommunityCP	F	17-Aug-25	L	Treatment	Feces
SP_54	Bacillota_A	Phylum	0.3657051751143607	RelativeAbundance	SP_54	Mucus 16	Muc2-/-	4376BL	H2	OA	H. M.  + Comm21	CommunityHM	F	15-Aug-25	L	Treatment	Mucus
SP_48	Bacillota_A	Phylum	0.3649963346947324	RelativeAbundance	SP_48	Mucus 9	Muc2-/-	045R	C9	MT	C.P. + Comm21	CommunityCP	F	17-Aug-25	L	Treatment	Mucus
SP_22	Bacillota_A	Phylum	0.3635529137353749	RelativeAbundance	SP_22	Feces 2	Muc2-/-	099R	C2	NC	C.P. + Comm21	CommunityCP	M	9-Aug-25	None	Treatment	Feces
SP_52	Bacillota_A	Phylum	0.35580092551290937	RelativeAbundance	SP_52	Mucus 13	Muc2-/-	3793R	C13	OA	C.P. + Comm21	CommunityCP	F	9-Aug-25	R	Treatment	Mucus
SP_58	Bacillota_A	Phylum	0.3556744139995492	RelativeAbundance	SP_58	Mucus 20	Muc2-/-	1094R	H6	NC	H. M.  + Comm21	CommunityHM	M	15-Aug-25	RL	Treatment	Mucus
SP_2	Bacillota_A	Phylum	0.3548318549353791	RelativeAbundance	SP_2	Colon 2	Muc2-/-	099R	C2	NC	C.P. + Comm21	CommunityCP	M	9-Aug-25	None	Treatment	Colon
SP_57	Bacillota_A	Phylum	0.35433670352256313	RelativeAbundance	SP_57	Mucus 19	Muc2-/-	1094R	H5	NC	H. M.  + Comm21	CommunityHM	M	15-Aug-25	L	Treatment	Mucus
SP_23	Bacillota_A	Phylum	0.35298563017437795	RelativeAbundance	SP_23	Feces 3	Muc2-/-	3970R	C3	NC	C.P. + Comm21	CommunityCP	M	17-Aug-25	None	Treatment	Feces
SP_7	Bacillota_A	Phylum	0.3421681000906157	RelativeAbundance	SP_7	Colon 7	Muc2-/-	045R	C7	MT	C.P. + Comm21	CommunityCP	F	17-Aug-25	None	Treatment	Colon
SP_33	Bacillota_A	Phylum	0.34215270127649083	RelativeAbundance	SP_33	Feces 13	Muc2-/-	3793R	C13	OA	C.P. + Comm21	CommunityCP	F	9-Aug-25	R	Treatment	Feces
SP_3	Bacillota_A	Phylum	0.33473166950085026	RelativeAbundance	SP_3	Colon 3	Muc2-/-	3970R	C3	NC	C.P. + Comm21	CommunityCP	M	17-Aug-25	None	Treatment	Colon
SP_20	Bacillota_A	Phylum	0.33127095275689655	RelativeAbundance	SP_20	Colon 20	Muc2-/-	1094R	H6	NC	H. M.  + Comm21	CommunityHM	M	15-Aug-25	RL	Treatment	Colon
SP_21	Bacillota_A	Phylum	0.330779747404134	RelativeAbundance	SP_21	Feces 1	Muc2-/-	4181B	C1	NC	C.P. + Comm21	CommunityCP	M	30-May-25	None	Treatment	Feces
